id,name,domain,language,framework,difficulty,skills,team_size,description
211,Resume Analyzer 211,IoT,Go,Vue.js,Beginner,JavaScript|Vue.js|API Integration,5,Build a iot project using Go and Vue.js framework.
212,ChatBot 212,Web,Java,Svelte,Intermediate,Python|NLP|Text Processing,1,Build a web project using Java and Svelte framework.
213,Mobile App 213,Blockchain,C#,Svelte,Intermediate,Python|NLP|Machine Learning,2,Build a blockchain project using C# and Svelte framework.
214,Racing Game 214,DevOps,Rust,Vue.js,Advanced,Python|Deep Learning|Computer Vision,2,Build a devops project using Rust and Vue.js framework.
215,VPN Client 215,Game Development,Java,Django,Beginner,Python|ML|Data Analysis,3,Build a game development project using Java and Django framework.
216,Racing Game 216,Game Development,Rust,Express,Beginner,Python|NLP|Machine Learning,2,Build a game development project using Rust and Express framework.
217,Forum App 217,Blockchain,TypeScript,Vue.js,Intermediate,JavaScript|React|Node.js,4,Build a blockchain project using TypeScript and Vue.js framework.
218,AR Application 218,Blockchain,Rust,Nuxt,Intermediate,JavaScript|Vue.js|API Integration,5,Build a blockchain project using Rust and Nuxt framework.
219,Payment Gateway 219,Data Science,TypeScript,Angular,Advanced,Go|Concurrency|Scalability,4,Build a data science project using TypeScript and Angular framework.
220,Blog Platform 220,Game Development,PHP,Vue.js,Intermediate,Blockchain|Smart Contracts|Crypto,1,Build a game development project using PHP and Vue.js framework.
221,Chat Application 221,Cybersecurity,Java,Ember,Intermediate,JavaScript|React|Node.js|Database,5,Build a cybersecurity project using Java and Ember framework.
222,Forum App 222,AI,Java,Next.js,Beginner,JavaScript|React|Node.js|Database,1,Build a ai project using Java and Next.js framework.
223,Log Aggregator 223,Web,TypeScript,React,Beginner,TypeScript|OOP|Design Patterns,5,Build a web project using TypeScript and React framework.
224,Puzzle Game 224,DevOps,Rust,Ember,Beginner,IoT|Embedded Systems|Hardware,1,Build a devops project using Rust and Ember framework.
225,Scheduler 225,Machine Learning,Rust,Vue.js,Expert,Rust|Memory Safety|Performance,1,Build a machine learning project using Rust and Vue.js framework.
226,Puzzle Game 226,Cybersecurity,JavaScript,Express,Intermediate,Go|Concurrency|Scalability,1,Build a cybersecurity project using JavaScript and Express framework.
227,Mobile App 227,Web,C++,Spring Boot,Expert,Blockchain|Smart Contracts|Crypto,5,Build a web project using C++ and Spring Boot framework.
228,Stock Analyzer 228,Machine Learning,TypeScript,Express,Intermediate,Python|NLP|Text Processing,3,Build a machine learning project using TypeScript and Express framework.
229,Wiki Platform 229,Data Science,Ruby,React,Intermediate,TypeScript|OOP|Design Patterns,1,Build a data science project using Ruby and React framework.
230,Photo Editor 230,Web,Python,Angular,Intermediate,JavaScript|React|Node.js,4,Build a web project using Python and Angular framework.
231,CRM System 231,Blockchain,Rust,Spring Boot,Expert,JavaScript|Vue.js|API Integration,1,Build a blockchain project using Rust and Spring Boot framework.
232,Mobile App 232,Machine Learning,C#,Svelte,Beginner,C++|Game Engine|Graphics,1,Build a machine learning project using C# and Svelte framework.
233,Puzzle Game 233,Data Science,Rust,Vue.js,Intermediate,Python|ML|Data Analysis,4,Build a data science project using Rust and Vue.js framework.
234,Weather Dashboard 234,AI,C#,Nuxt,Beginner,Java|Spring|Microservices,5,Build a ai project using C# and Nuxt framework.
235,REST API 235,Data Science,TypeScript,Express,Beginner,Java|Spring|Microservices,2,Build a data science project using TypeScript and Express framework.
236,Analytics Tool 236,Blockchain,Python,Next.js,Expert,Python|Deep Learning|Computer Vision,4,Build a blockchain project using Python and Next.js framework.
237,Task Manager 237,Data Science,JavaScript,Next.js,Advanced,Cybersecurity|Encryption|Penetration Testing,3,Build a data science project using JavaScript and Next.js framework.
238,Music Player 238,Mobile,JavaScript,Flask,Expert,JavaScript|Vue.js|API Integration,1,Build a mobile project using JavaScript and Flask framework.
239,Social Network 239,DevOps,PHP,Angular,Expert,JavaScript|React|State Management,1,Build a devops project using PHP and Angular framework.
240,Search Engine 240,AI,Python,Next.js,Advanced,Rust|Memory Safety|Performance,2,Build a ai project using Python and Next.js framework.
241,Data Pipeline 241,Blockchain,PHP,Angular,Expert,Rust|Memory Safety|Performance,1,Build a blockchain project using PHP and Angular framework.
242,E-Commerce 242,Game Development,Java,Spring Boot,Expert,Python|Data Analysis|Visualization,4,Build a game development project using Java and Spring Boot framework.
243,Log Aggregator 243,Data Science,Rust,Angular,Advanced,Python|Data Analysis|Visualization,4,Build a data science project using Rust and Angular framework.
244,Dashboard 244,Game Development,Python,Svelte,Intermediate,DevOps|Docker|Kubernetes,2,Build a game development project using Python and Svelte framework.
245,Cloud Storage 245,Cybersecurity,Java,React,Advanced,TypeScript|OOP|Design Patterns,4,Build a cybersecurity project using Java and React framework.
246,API Gateway 246,Data Science,Go,Vue.js,Intermediate,Cybersecurity|Encryption|Penetration Testing,4,Build a data science project using Go and Vue.js framework.
247,REST API 247,Game Development,Ruby,Vue.js,Beginner,Python|NLP|Machine Learning,3,Build a game development project using Ruby and Vue.js framework.
248,Video Streaming 248,DevOps,Ruby,Angular,Advanced,Python|Deep Learning|Computer Vision,1,Build a devops project using Ruby and Angular framework.
249,API Gateway 249,Mobile,C++,Svelte,Beginner,JavaScript|Vue.js|API Integration,1,Build a mobile project using C++ and Svelte framework.
250,Dashboard 250,IoT,PHP,Spring Boot,Expert,IoT|Embedded Systems|Hardware,2,Build a iot project using PHP and Spring Boot framework.
251,Search Engine 251,AI,JavaScript,Next.js,Beginner,Python|ML|Data Analysis,1,Build a ai project using JavaScript and Next.js framework.
252,ChatBot 252,Cybersecurity,Ruby,Vue.js,Advanced,Go|Concurrency|Scalability,2,Build a cybersecurity project using Ruby and Vue.js framework.
253,Video Streaming 253,Cybersecurity,C#,Angular,Beginner,JavaScript|React|State Management,2,Build a cybersecurity project using C# and Angular framework.
254,Blog Platform 254,Data Science,PHP,React,Beginner,JavaScript|React|State Management,3,Build a data science project using PHP and React framework.
255,Music Player 255,DevOps,PHP,Flask,Intermediate,Python|Data Analysis|Visualization,2,Build a devops project using PHP and Flask framework.
256,Log Aggregator 256,DevOps,Ruby,React,Expert,Rust|Memory Safety|Performance,1,Build a devops project using Ruby and React framework.
257,Payment Gateway 257,Blockchain,TypeScript,FastAPI,Advanced,C++|Game Engine|Graphics,1,Build a blockchain project using TypeScript and FastAPI framework.
258,Video Streaming 258,DevOps,Rust,React,Expert,JavaScript|Vue.js|API Integration,5,Build a devops project using Rust and React framework.
259,Image Classifier 259,Cybersecurity,Ruby,Nuxt,Beginner,Python|NLP|Machine Learning,2,Build a cybersecurity project using Ruby and Nuxt framework.
260,Payment Gateway 260,Blockchain,C#,Express,Intermediate,Python|NLP|Text Processing,2,Build a blockchain project using C# and Express framework.
261,Racing Game 261,Web,Python,Svelte,Expert,Python|Data Analysis|Visualization,3,Build a web project using Python and Svelte framework.
262,Dashboard 262,Cybersecurity,Java,React,Advanced,Python|Deep Learning|Computer Vision,5,Build a cybersecurity project using Java and React framework.
263,Recommendation System 263,IoT,C#,React,Intermediate,Python|NLP|Text Processing,2,Build a iot project using C# and React framework.
264,Puzzle Game 264,Machine Learning,JavaScript,Vue.js,Beginner,Go|Concurrency|Scalability,5,Build a machine learning project using JavaScript and Vue.js framework.
265,Scheduler 265,Machine Learning,C#,Nuxt,Expert,Go|Concurrency|Scalability,2,Build a machine learning project using C# and Nuxt framework.
266,Recommendation System 266,Mobile,Ruby,Ember,Expert,JavaScript|React|Node.js,5,Build a mobile project using Ruby and Ember framework.
267,API Gateway 267,Web,C#,Django,Beginner,Go|Concurrency|Scalability,1,Build a web project using C# and Django framework.
268,ChatBot 268,Blockchain,Rust,Vue.js,Advanced,C++|Game Engine|Graphics,4,Build a blockchain project using Rust and Vue.js framework.
269,API Gateway 269,Cybersecurity,Rust,Django,Beginner,JavaScript|React|State Management,2,Build a cybersecurity project using Rust and Django framework.
270,Analytics Tool 270,AI,C++,Spring Boot,Beginner,Rust|Memory Safety|Performance,2,Build a ai project using C++ and Spring Boot framework.
271,3D Game 271,IoT,Ruby,Nuxt,Intermediate,DevOps|Docker|Kubernetes,1,Build a iot project using Ruby and Nuxt framework.
272,Container Registry 272,Cybersecurity,C#,Spring Boot,Beginner,C++|Game Engine|Graphics,5,Build a cybersecurity project using C# and Spring Boot framework.
273,Photo Editor 273,DevOps,Go,React,Intermediate,Python|Deep Learning|Computer Vision,4,Build a devops project using Go and React framework.
274,Cloud Storage 274,Mobile,JavaScript,Nuxt,Expert,Blockchain|Smart Contracts|Crypto,3,Build a mobile project using JavaScript and Nuxt framework.
275,Document Generator 275,Web,C++,Vue.js,Expert,DevOps|Docker|Kubernetes,1,Build a web project using C++ and Vue.js framework.
276,Mobile App 276,Machine Learning,Python,Flask,Advanced,Python|NLP|Text Processing,5,Build a machine learning project using Python and Flask framework.
277,Blog Platform 277,DevOps,PHP,Spring Boot,Intermediate,Python|ML|Data Analysis,3,Build a devops project using PHP and Spring Boot framework.
278,Intrusion Detector 278,Mobile,Go,Angular,Advanced,Go|Concurrency|Scalability,4,Build a mobile project using Go and Angular framework.
279,Container Registry 279,Machine Learning,Python,Svelte,Beginner,Python|Data Analysis|Visualization,1,Build a machine learning project using Python and Svelte framework.
280,Strategy Game 280,Blockchain,TypeScript,Vue.js,Expert,Python|NLP|Text Processing,5,Build a blockchain project using TypeScript and Vue.js framework.
281,Image Classifier 281,DevOps,C#,Express,Advanced,TypeScript|OOP|Design Patterns,5,Build a devops project using C# and Express framework.
282,Document Generator 282,Game Development,PHP,Django,Beginner,Blockchain|Smart Contracts|Crypto,1,Build a game development project using PHP and Django framework.
283,ERP Solution 283,DevOps,Java,Angular,Advanced,C++|Game Engine|Graphics,2,Build a devops project using Java and Angular framework.
284,Scheduler 284,Game Development,C#,FastAPI,Intermediate,Python|NLP|Text Processing,1,Build a game development project using C# and FastAPI framework.
285,Racing Game 285,AI,Python,FastAPI,Advanced,Go|Concurrency|Scalability,1,Build a ai project using Python and FastAPI framework.
286,Log Aggregator 286,Game Development,PHP,Express,Expert,Python|NLP|Text Processing,4,Build a game development project using PHP and Express framework.
287,AR Application 287,DevOps,Ruby,React,Expert,Python|Deep Learning|Computer Vision,2,Build a devops project using Ruby and React framework.
288,Photo Editor 288,Blockchain,Java,Django,Expert,Java|Spring|Microservices,4,Build a blockchain project using Java and Django framework.
289,ChatBot 289,DevOps,Ruby,Nuxt,Advanced,DevOps|Docker|Kubernetes,3,Build a devops project using Ruby and Nuxt framework.
290,Strategy Game 290,AI,Go,Angular,Advanced,JavaScript|React|State Management,1,Build a ai project using Go and Angular framework.
291,Task Manager 291,IoT,Ruby,React,Beginner,JavaScript|React|Node.js|Database,5,Build a iot project using Ruby and React framework.
292,Recommendation System 292,Mobile,Go,Ember,Advanced,IoT|Embedded Systems|Hardware,3,Build a mobile project using Go and Ember framework.
293,Email Client 293,Web,Python,Svelte,Advanced,Cybersecurity|Encryption|Penetration Testing,1,Build a web project using Python and Svelte framework.
294,VPN Client 294,AI,C#,Spring Boot,Beginner,JavaScript|React|Node.js|Database,5,Build a ai project using C# and Spring Boot framework.
295,Firewall 295,Blockchain,TypeScript,Vue.js,Beginner,Go|Concurrency|Scalability,5,Build a blockchain project using TypeScript and Vue.js framework.
296,Puzzle Game 296,Web,C#,React,Intermediate,Rust|Memory Safety|Performance,3,Build a web project using C# and React framework.
297,ChatBot 297,IoT,C#,Nuxt,Intermediate,Blockchain|Smart Contracts|Crypto,5,Build a iot project using C# and Nuxt framework.
298,Social Network 298,Web,Python,Ember,Beginner,Python|ML|Data Analysis,3,Build a web project using Python and Ember framework.
299,File Manager 299,Data Science,C#,Django,Intermediate,Python|Data Analysis|Visualization,2,Build a data science project using C# and Django framework.
300,CI/CD Pipeline 300,Cybersecurity,JavaScript,Flask,Beginner,JavaScript|React|Node.js,1,Build a cybersecurity project using JavaScript and Flask framework.
301,Network Simulator 301,Mobile,C++,Nuxt,Advanced,JavaScript|React|State Management,5,Build a mobile project using C++ and Nuxt framework.
302,ChatBot 302,Cybersecurity,C++,Nuxt,Advanced,Python|Deep Learning|Computer Vision,2,Build a cybersecurity project using C++ and Nuxt framework.
303,Social Network 303,Cybersecurity,Java,Spring Boot,Advanced,Python|Data Analysis|Visualization,3,Build a cybersecurity project using Java and Spring Boot framework.
304,Music Player 304,IoT,C++,Express,Expert,Cybersecurity|Encryption|Penetration Testing,1,Build a iot project using C++ and Express framework.
305,Intrusion Detector 305,Game Development,JavaScript,Next.js,Intermediate,Rust|Memory Safety|Performance,1,Build a game development project using JavaScript and Next.js framework.
306,Virtual Machine 306,Machine Learning,PHP,Next.js,Intermediate,Python|ML|Data Analysis,1,Build a machine learning project using PHP and Next.js framework.
307,Data Pipeline 307,Cybersecurity,Rust,Vue.js,Advanced,IoT|Embedded Systems|Hardware,4,Build a cybersecurity project using Rust and Vue.js framework.
308,Blog Platform 308,Mobile,TypeScript,FastAPI,Advanced,DevOps|Docker|Kubernetes,3,Build a mobile project using TypeScript and FastAPI framework.
309,Document Generator 309,Data Science,Python,Nuxt,Beginner,Go|Concurrency|Scalability,3,Build a data science project using Python and Nuxt framework.
310,Virtual Machine 310,Machine Learning,Ruby,Spring Boot,Expert,TypeScript|OOP|Design Patterns,3,Build a machine learning project using Ruby and Spring Boot framework.
311,Resume Analyzer 311,Cybersecurity,Rust,FastAPI,Beginner,DevOps|Docker|Kubernetes,1,Build a cybersecurity project using Rust and FastAPI framework.
312,Payment Gateway 312,Mobile,Python,React,Expert,Python|NLP|Text Processing,2,Build a mobile project using Python and React framework.
313,3D Game 313,Web,C#,Nuxt,Beginner,Python|ML|Data Analysis,5,Build a web project using C# and Nuxt framework.
314,Backup Tool 314,Data Science,Python,React,Expert,Rust|Memory Safety|Performance,2,Build a data science project using Python and React framework.
315,VPN Client 315,DevOps,PHP,Django,Advanced,Python|ML|Data Analysis,5,Build a devops project using PHP and Django framework.
316,VPN Client 316,Game Development,Rust,React,Beginner,Cybersecurity|Encryption|Penetration Testing,1,Build a game development project using Rust and React framework.
317,Payment Gateway 317,DevOps,Java,FastAPI,Intermediate,Python|NLP|Text Processing,2,Build a devops project using Java and FastAPI framework.
318,Intrusion Detector 318,Web,Go,Vue.js,Advanced,Blockchain|Smart Contracts|Crypto,2,Build a web project using Go and Vue.js framework.
319,Data Pipeline 319,Game Development,Go,Svelte,Advanced,Java|Spring|Microservices,5,Build a game development project using Go and Svelte framework.
320,AR Application 320,Data Science,Python,Django,Expert,IoT|Embedded Systems|Hardware,5,Build a data science project using Python and Django framework.
321,Strategy Game 321,Web,Go,Next.js,Expert,Java|Spring|Microservices,5,Build a web project using Go and Next.js framework.
322,Recommendation System 322,Blockchain,C++,Svelte,Beginner,DevOps|Docker|Kubernetes,1,Build a blockchain project using C++ and Svelte framework.
323,3D Game 323,Machine Learning,PHP,Next.js,Intermediate,Python|Deep Learning|Computer Vision,5,Build a machine learning project using PHP and Next.js framework.
324,Recommendation System 324,Cybersecurity,C++,Svelte,Advanced,Java|Spring|Microservices,5,Build a cybersecurity project using C++ and Svelte framework.
325,Chat Application 325,AI,Python,Flask,Expert,C++|Game Engine|Graphics,1,Build a ai project using Python and Flask framework.
326,Traffic Monitor 326,Mobile,C#,Django,Expert,Java|Spring|Microservices,1,Build a mobile project using C# and Django framework.
327,Traffic Monitor 327,Cybersecurity,TypeScript,Nuxt,Expert,JavaScript|React|Node.js,1,Build a cybersecurity project using TypeScript and Nuxt framework.
328,CRM System 328,Web,TypeScript,Next.js,Advanced,Blockchain|Smart Contracts|Crypto,3,Build a web project using TypeScript and Next.js framework.
329,Notification System 329,Mobile,JavaScript,Ember,Beginner,Python|NLP|Machine Learning,5,Build a mobile project using JavaScript and Ember framework.
330,File Manager 330,Cybersecurity,Go,Ember,Intermediate,Go|Concurrency|Scalability,1,Build a cybersecurity project using Go and Ember framework.
331,Container Registry 331,DevOps,Rust,Svelte,Expert,DevOps|Docker|Kubernetes,5,Build a devops project using Rust and Svelte framework.
332,Virtual Machine 332,Cybersecurity,C++,Express,Intermediate,JavaScript|React|Node.js|Database,1,Build a cybersecurity project using C++ and Express framework.
333,VPN Client 333,Mobile,C++,Vue.js,Intermediate,Rust|Memory Safety|Performance,5,Build a mobile project using C++ and Vue.js framework.
334,CRM System 334,Blockchain,TypeScript,Next.js,Beginner,C++|Game Engine|Graphics,2,Build a blockchain project using TypeScript and Next.js framework.
335,CRM System 335,IoT,Java,Angular,Beginner,C++|Game Engine|Graphics,3,Build a iot project using Java and Angular framework.
336,Mobile App 336,Game Development,PHP,Flask,Expert,Blockchain|Smart Contracts|Crypto,3,Build a game development project using PHP and Flask framework.
337,Cloud Storage 337,AI,Rust,Ember,Advanced,C++|Game Engine|Graphics,4,Build a ai project using Rust and Ember framework.
338,File Manager 338,Machine Learning,Python,Angular,Intermediate,Python|NLP|Text Processing,5,Build a machine learning project using Python and Angular framework.
339,Task Manager 339,Cybersecurity,Python,React,Expert,Python|Deep Learning|Computer Vision,5,Build a cybersecurity project using Python and React framework.
340,Data Pipeline 340,AI,Java,Vue.js,Advanced,DevOps|Docker|Kubernetes,4,Build a ai project using Java and Vue.js framework.
341,Strategy Game 341,AI,Java,Ember,Expert,Java|Spring|Microservices,1,Build a ai project using Java and Ember framework.
342,Recommendation System 342,Web,TypeScript,Next.js,Expert,JavaScript|Vue.js|API Integration,4,Build a web project using TypeScript and Next.js framework.
343,Wiki Platform 343,IoT,Ruby,FastAPI,Beginner,Python|NLP|Machine Learning,1,Build a iot project using Ruby and FastAPI framework.
344,AR Application 344,Data Science,JavaScript,Spring Boot,Expert,Java|Spring|Microservices,3,Build a data science project using JavaScript and Spring Boot framework.
345,Intrusion Detector 345,Machine Learning,TypeScript,Flask,Beginner,Python|NLP|Text Processing,3,Build a machine learning project using TypeScript and Flask framework.
346,Forum App 346,Machine Learning,JavaScript,Flask,Beginner,Python|Deep Learning|Computer Vision,3,Build a machine learning project using JavaScript and Flask framework.
347,Resume Analyzer 347,Game Development,Java,Svelte,Expert,JavaScript|React|State Management,4,Build a game development project using Java and Svelte framework.
348,ChatBot 348,Machine Learning,C#,Express,Advanced,TypeScript|OOP|Design Patterns,2,Build a machine learning project using C# and Express framework.
349,3D Game 349,Cybersecurity,Python,Next.js,Intermediate,JavaScript|React|Node.js,3,Build a cybersecurity project using Python and Next.js framework.
350,Load Balancer 350,Web,Rust,Next.js,Beginner,Python|Data Analysis|Visualization,3,Build a web project using Rust and Next.js framework.
351,Notification System 351,AI,Rust,Nuxt,Beginner,Python|Data Analysis|Visualization,4,Build a ai project using Rust and Nuxt framework.
352,Forum App 352,AI,Rust,Express,Beginner,JavaScript|React|Node.js|Database,1,Build a ai project using Rust and Express framework.
353,3D Game 353,Game Development,C#,React,Intermediate,Java|Spring|Microservices,1,Build a game development project using C# and React framework.
354,Image Classifier 354,Web,C++,React,Intermediate,Rust|Memory Safety|Performance,5,Build a web project using C++ and React framework.
355,Strategy Game 355,Data Science,Java,Next.js,Advanced,Go|Concurrency|Scalability,4,Build a data science project using Java and Next.js framework.
356,ERP Solution 356,Web,Ruby,FastAPI,Expert,DevOps|Docker|Kubernetes,4,Build a web project using Ruby and FastAPI framework.
357,VPN Client 357,DevOps,Go,Angular,Beginner,Python|Data Analysis|Visualization,4,Build a devops project using Go and Angular framework.
358,File Manager 358,Blockchain,Java,Ember,Beginner,Rust|Memory Safety|Performance,1,Build a blockchain project using Java and Ember framework.
359,Puzzle Game 359,Cybersecurity,Ruby,React,Beginner,Go|Concurrency|Scalability,5,Build a cybersecurity project using Ruby and React framework.
360,Chat Application 360,Mobile,Ruby,Nuxt,Advanced,JavaScript|React|Node.js|Database,3,Build a mobile project using Ruby and Nuxt framework.
361,Virtual Machine 361,Blockchain,Ruby,Express,Intermediate,TypeScript|OOP|Design Patterns,3,Build a blockchain project using Ruby and Express framework.
362,Notification System 362,IoT,Python,Express,Beginner,JavaScript|React|Node.js|Database,2,Build a iot project using Python and Express framework.
363,REST API 363,Data Science,C#,Nuxt,Advanced,DevOps|Docker|Kubernetes,2,Build a data science project using C# and Nuxt framework.
364,Email Client 364,Game Development,PHP,Angular,Beginner,JavaScript|React|Node.js,4,Build a game development project using PHP and Angular framework.
365,Video Streaming 365,Blockchain,TypeScript,React,Beginner,Python|Deep Learning|Computer Vision,1,Build a blockchain project using TypeScript and React framework.
366,Load Balancer 366,Machine Learning,JavaScript,Flask,Intermediate,IoT|Embedded Systems|Hardware,5,Build a machine learning project using JavaScript and Flask framework.
367,ChatBot 367,Mobile,Go,React,Beginner,JavaScript|React|Node.js|Database,3,Build a mobile project using Go and React framework.
368,E-Commerce 368,Game Development,Go,React,Advanced,JavaScript|React|State Management,5,Build a game development project using Go and React framework.
369,Monitoring System 369,Data Science,PHP,Ember,Intermediate,Python|NLP|Machine Learning,3,Build a data science project using PHP and Ember framework.
370,Container Registry 370,Web,PHP,Django,Intermediate,Go|Concurrency|Scalability,1,Build a web project using PHP and Django framework.
371,Stock Analyzer 371,IoT,TypeScript,Angular,Beginner,Blockchain|Smart Contracts|Crypto,4,Build a iot project using TypeScript and Angular framework.
372,Log Aggregator 372,Game Development,Java,Ember,Expert,Python|Data Analysis|Visualization,3,Build a game development project using Java and Ember framework.
373,ChatBot 373,Mobile,TypeScript,Spring Boot,Advanced,Python|Deep Learning|Computer Vision,3,Build a mobile project using TypeScript and Spring Boot framework.
374,API Gateway 374,Game Development,Ruby,Django,Intermediate,JavaScript|React|Node.js|Database,5,Build a game development project using Ruby and Django framework.
375,Chat Application 375,Blockchain,C++,Django,Expert,Python|ML|Data Analysis,3,Build a blockchain project using C++ and Django framework.
376,Network Simulator 376,Blockchain,JavaScript,Spring Boot,Expert,Go|Concurrency|Scalability,4,Build a blockchain project using JavaScript and Spring Boot framework.
377,Data Pipeline 377,Machine Learning,TypeScript,Ember,Intermediate,JavaScript|React|Node.js,2,Build a machine learning project using TypeScript and Ember framework.
378,Container Registry 378,Cybersecurity,C++,Svelte,Expert,Go|Concurrency|Scalability,2,Build a cybersecurity project using C++ and Svelte framework.
379,Notification System 379,Data Science,TypeScript,React,Advanced,Java|Spring|Microservices,4,Build a data science project using TypeScript and React framework.
380,Racing Game 380,DevOps,JavaScript,Ember,Intermediate,DevOps|Docker|Kubernetes,2,Build a devops project using JavaScript and Ember framework.
381,Stock Analyzer 381,DevOps,JavaScript,Nuxt,Beginner,JavaScript|React|State Management,1,Build a devops project using JavaScript and Nuxt framework.
382,Monitoring System 382,DevOps,Ruby,Vue.js,Intermediate,Cybersecurity|Encryption|Penetration Testing,5,Build a devops project using Ruby and Vue.js framework.
383,Password Manager 383,Mobile,Go,Vue.js,Expert,Cybersecurity|Encryption|Penetration Testing,2,Build a mobile project using Go and Vue.js framework.
384,ERP Solution 384,Blockchain,Python,Spring Boot,Expert,Java|Spring|Microservices,4,Build a blockchain project using Python and Spring Boot framework.
385,Data Pipeline 385,Mobile,Python,Nuxt,Expert,Java|Spring|Microservices,3,Build a mobile project using Python and Nuxt framework.
386,ChatBot 386,AI,Python,Vue.js,Intermediate,JavaScript|React|State Management,5,Build a ai project using Python and Vue.js framework.
387,Chat Application 387,Blockchain,Go,Angular,Beginner,JavaScript|React|Node.js,4,Build a blockchain project using Go and Angular framework.
388,Email Client 388,DevOps,C#,Ember,Intermediate,Blockchain|Smart Contracts|Crypto,5,Build a devops project using C# and Ember framework.
389,Wiki Platform 389,DevOps,PHP,Angular,Advanced,Python|NLP|Text Processing,4,Build a devops project using PHP and Angular framework.
390,File Manager 390,Machine Learning,C#,FastAPI,Intermediate,TypeScript|OOP|Design Patterns,1,Build a machine learning project using C# and FastAPI framework.
391,Video Streaming 391,Data Science,Python,Express,Expert,JavaScript|React|State Management,5,Build a data science project using Python and Express framework.
392,Notification System 392,AI,Ruby,Flask,Beginner,JavaScript|React|Node.js|Database,2,Build a ai project using Ruby and Flask framework.
393,Image Classifier 393,DevOps,C#,Nuxt,Expert,DevOps|Docker|Kubernetes,4,Build a devops project using C# and Nuxt framework.
394,3D Game 394,Machine Learning,JavaScript,Flask,Beginner,Python|Deep Learning|Computer Vision,5,Build a machine learning project using JavaScript and Flask framework.
395,CRM System 395,Game Development,Python,Angular,Advanced,JavaScript|Vue.js|API Integration,2,Build a game development project using Python and Angular framework.
396,Puzzle Game 396,DevOps,Python,Vue.js,Intermediate,Python|Data Analysis|Visualization,4,Build a devops project using Python and Vue.js framework.
397,Password Manager 397,Web,JavaScript,Flask,Intermediate,C++|Game Engine|Graphics,1,Build a web project using JavaScript and Flask framework.
398,CRM System 398,Web,C#,Next.js,Intermediate,Python|NLP|Text Processing,1,Build a web project using C# and Next.js framework.
399,Container Registry 399,Game Development,Rust,Spring Boot,Beginner,Python|Deep Learning|Computer Vision,4,Build a game development project using Rust and Spring Boot framework.
400,Virtual Machine 400,IoT,PHP,Next.js,Expert,JavaScript|Vue.js|API Integration,5,Build a iot project using PHP and Next.js framework.
401,Firewall 401,Data Science,TypeScript,Spring Boot,Expert,DevOps|Docker|Kubernetes,3,Build a data science project using TypeScript and Spring Boot framework.
402,API Gateway 402,Data Science,TypeScript,Express,Advanced,Java|Spring|Microservices,2,Build a data science project using TypeScript and Express framework.
403,Network Simulator 403,Cybersecurity,Ruby,Express,Expert,JavaScript|React|Node.js|Database,1,Build a cybersecurity project using Ruby and Express framework.
404,CRM System 404,Mobile,Python,Express,Expert,TypeScript|OOP|Design Patterns,4,Build a mobile project using Python and Express framework.
405,Weather Dashboard 405,DevOps,C#,Django,Beginner,JavaScript|Vue.js|API Integration,1,Build a devops project using C# and Django framework.
406,AR Application 406,IoT,TypeScript,Django,Beginner,DevOps|Docker|Kubernetes,1,Build a iot project using TypeScript and Django framework.
407,Load Balancer 407,Machine Learning,TypeScript,Next.js,Intermediate,Cybersecurity|Encryption|Penetration Testing,3,Build a machine learning project using TypeScript and Next.js framework.
408,ChatBot 408,Blockchain,Java,Spring Boot,Intermediate,Python|Deep Learning|Computer Vision,4,Build a blockchain project using Java and Spring Boot framework.
409,Chat Application 409,Cybersecurity,Ruby,Svelte,Beginner,DevOps|Docker|Kubernetes,5,Build a cybersecurity project using Ruby and Svelte framework.
410,Racing Game 410,Game Development,JavaScript,Flask,Beginner,DevOps|Docker|Kubernetes,3,Build a game development project using JavaScript and Flask framework.
411,API Gateway 411,Cybersecurity,Java,Nuxt,Expert,Python|NLP|Text Processing,1,Build a cybersecurity project using Java and Nuxt framework.
412,Firewall 412,DevOps,Rust,Angular,Intermediate,C++|Game Engine|Graphics,5,Build a devops project using Rust and Angular framework.
413,API Gateway 413,Web,Python,React,Beginner,IoT|Embedded Systems|Hardware,4,Build a web project using Python and React framework.
414,Cloud Storage 414,Mobile,Go,FastAPI,Expert,C++|Game Engine|Graphics,2,Build a mobile project using Go and FastAPI framework.
415,REST API 415,AI,JavaScript,Django,Advanced,Python|NLP|Text Processing,2,Build a ai project using JavaScript and Django framework.
416,Traffic Monitor 416,Web,Ruby,React,Expert,DevOps|Docker|Kubernetes,3,Build a web project using Ruby and React framework.
417,ERP Solution 417,IoT,C++,Vue.js,Intermediate,Python|NLP|Text Processing,1,Build a iot project using C++ and Vue.js framework.
418,Photo Editor 418,Web,JavaScript,Spring Boot,Expert,C++|Game Engine|Graphics,5,Build a web project using JavaScript and Spring Boot framework.
419,VPN Client 419,Game Development,PHP,Ember,Intermediate,Cybersecurity|Encryption|Penetration Testing,3,Build a game development project using PHP and Ember framework.
420,Virtual Machine 420,Mobile,Rust,Vue.js,Advanced,Python|NLP|Text Processing,1,Build a mobile project using Rust and Vue.js framework.
421,Intrusion Detector 421,IoT,Ruby,Next.js,Intermediate,JavaScript|React|State Management,3,Build a iot project using Ruby and Next.js framework.
422,Search Engine 422,Data Science,Go,Next.js,Advanced,Python|NLP|Machine Learning,3,Build a data science project using Go and Next.js framework.
